PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MD,b,1941-1949,0,0.03932,0.03805,0.16,100000,3805,96793,6424192,64.24
MD,b,1941-1949,1,0.00343,0.00343,0.5,96195,330,96030,6327399,65.78
MD,b,1941-1949,2,0.00201,0.00201,0.5,95865,193,95768,6231370,65.00
MD,b,1941-1949,3,0.00160,0.00160,0.5,95672,153,95596,6135601,64.13
MD,b,1941-1949,4,0.00128,0.00128,0.5,95519,122,95458,6040006,63.23
MD,b,1941-1949,5,0.00109,0.00109,0.5,95397,104,95345,5944548,62.31
MD,b,1941-1949,6,0.00098,0.00098,0.5,95293,93,95247,5849202,61.38
MD,b,1941-1949,7,0.00089,0.00089,0.5,95200,84,95158,5753956,60.44
MD,b,1941-1949,8,0.00080,0.00080,0.5,95115,76,95077,5658798,59.49
MD,b,1941-1949,9,0.00073,0.00072,0.5,95039,69,95005,5563721,58.54
MD,b,1941-1949,10,0.00067,0.00067,0.5,94970,64,94938,5468716,57.58
MD,b,1941-1949,11,0.00068,0.00068,0.5,94907,64,94874,5373778,56.62
MD,b,1941-1949,12,0.00075,0.00075,0.5,94842,71,94807,5278903,55.66
MD,b,1941-1949,13,0.00088,0.00088,0.5,94771,83,94730,5184097,54.70
MD,b,1941-1949,14,0.00106,0.00106,0.5,94688,101,94638,5089367,53.75
MD,b,1941-1949,15,0.00129,0.00129,0.5,94588,122,94526,4994729,52.81
MD,b,1941-1949,16,0.00149,0.00149,0.5,94465,141,94395,4900202,51.87
MD,b,1941-1949,17,0.00165,0.00165,0.5,94325,156,94247,4805807,50.95
MD,b,1941-1949,18,0.00179,0.00178,0.5,94169,168,94085,4711560,50.03
MD,b,1941-1949,19,0.00189,0.00189,0.5,94001,178,93912,4617475,49.12
MD,b,1941-1949,20,0.00197,0.00197,0.5,93823,185,93731,4523563,48.21
MD,b,1941-1949,21,0.00203,0.00203,0.5,93639,190,93544,4429832,47.31
MD,b,1941-1949,22,0.00209,0.00209,0.5,93449,195,93351,4336288,46.40
MD,b,1941-1949,23,0.00213,0.00212,0.5,93254,198,93155,4242937,45.50
MD,b,1941-1949,24,0.00215,0.00215,0.5,93056,200,92955,4149783,44.59
MD,b,1941-1949,25,0.00218,0.00218,0.5,92855,202,92754,4056827,43.69
MD,b,1941-1949,26,0.00222,0.00222,0.5,92653,205,92551,3964073,42.78
MD,b,1941-1949,27,0.00228,0.00228,0.5,92448,211,92343,3871523,41.88
MD,b,1941-1949,28,0.00237,0.00237,0.5,92237,219,92128,3779180,40.97
MD,b,1941-1949,29,0.00249,0.00249,0.5,92019,229,91904,3687052,40.07
MD,b,1941-1949,30,0.00263,0.00263,0.5,91790,241,91669,3595148,39.17
MD,b,1941-1949,31,0.00277,0.00277,0.5,91548,253,91422,3503479,38.27
MD,b,1941-1949,32,0.00293,0.00292,0.5,91295,267,91162,3412057,37.37
MD,b,1941-1949,33,0.00311,0.00311,0.5,91028,283,90887,3320895,36.48
MD,b,1941-1949,34,0.00332,0.00331,0.5,90745,301,90595,3230009,35.59
MD,b,1941-1949,35,0.00358,0.00357,0.5,90445,323,90283,3139414,34.71
MD,b,1941-1949,36,0.00386,0.00385,0.5,90121,347,89948,3049131,33.83
MD,b,1941-1949,37,0.00418,0.00417,0.5,89774,374,89587,2959183,32.96
MD,b,1941-1949,38,0.00458,0.00457,0.5,89400,409,89196,2869596,32.10
MD,b,1941-1949,39,0.00504,0.00503,0.5,88992,448,88768,2780400,31.24
MD,b,1941-1949,40,0.00554,0.00552,0.5,88544,489,88300,2691632,30.40
MD,b,1941-1949,41,0.00599,0.00597,0.5,88055,525,87793,2603332,29.56
MD,b,1941-1949,42,0.00650,0.00648,0.5,87530,567,87246,2515539,28.74
MD,b,1941-1949,43,0.00708,0.00705,0.5,86962,613,86656,2428293,27.92
MD,b,1941-1949,44,0.00762,0.00759,0.5,86349,655,86021,2341637,27.12
MD,b,1941-1949,45,0.00825,0.00821,0.5,85694,704,85342,2255616,26.32
MD,b,1941-1949,46,0.00887,0.00883,0.5,84990,751,84615,2170274,25.54
MD,b,1941-1949,47,0.00954,0.00949,0.5,84239,800,83839,2085660,24.76
MD,b,1941-1949,48,0.01035,0.01029,0.5,83439,859,83010,2001820,23.99
MD,b,1941-1949,49,0.01132,0.01125,0.5,82581,929,82116,1918810,23.24
MD,b,1941-1949,50,0.01249,0.01242,0.5,81651,1014,81144,1836695,22.49
MD,b,1941-1949,51,0.01348,0.01339,0.5,80638,1080,80098,1755550,21.77
MD,b,1941-1949,52,0.01443,0.01433,0.5,79558,1140,78988,1675452,21.06
MD,b,1941-1949,53,0.01550,0.01538,0.5,78418,1206,77815,1596464,20.36
MD,b,1941-1949,54,0.01647,0.01634,0.5,77212,1261,76581,1518650,19.67
MD,b,1941-1949,55,0.01749,0.01734,0.5,75951,1317,75292,1442068,18.99
MD,b,1941-1949,56,0.01856,0.01839,0.5,74633,1373,73947,1366776,18.31
MD,b,1941-1949,57,0.01982,0.01963,0.5,73261,1438,72542,1292829,17.65
MD,b,1941-1949,58,0.02141,0.02118,0.5,71823,1521,71062,1220287,16.99
MD,b,1941-1949,59,0.02311,0.02284,0.5,70302,1606,69499,1149225,16.35
MD,b,1941-1949,60,0.02501,0.02471,0.5,68696,1697,67847,1079726,15.72
MD,b,1941-1949,61,0.02680,0.02645,0.5,66999,1772,66113,1011879,15.10
MD,b,1941-1949,62,0.02881,0.02840,0.5,65227,1853,64301,945766,14.50
MD,b,1941-1949,63,0.03125,0.03077,0.5,63374,1950,62399,881466,13.91
MD,b,1941-1949,64,0.03372,0.03316,0.5,61424,2037,60406,819066,13.33
MD,b,1941-1949,65,0.03679,0.03613,0.5,59388,2145,58315,758660,12.77
MD,b,1941-1949,66,0.03954,0.03877,0.5,57242,2219,56133,700345,12.23
MD,b,1941-1949,67,0.04212,0.04125,0.5,55023,2270,53888,644213,11.71
MD,b,1941-1949,68,0.04559,0.04457,0.5,52753,2351,51578,590324,11.19
MD,b,1941-1949,69,0.04926,0.04807,0.5,50402,2423,49191,538746,10.69
MD,b,1941-1949,70,0.05323,0.05185,0.5,47979,2488,46735,489556,10.20
MD,b,1941-1949,71,0.05665,0.05509,0.5,45491,2506,44238,442820,9.73
MD,b,1941-1949,72,0.06078,0.05899,0.5,42985,2536,41717,398582,9.27
MD,b,1941-1949,73,0.06631,0.06418,0.5,40450,2596,39152,356865,8.82
MD,b,1941-1949,74,0.07209,0.06958,0.5,37853,2634,36536,317713,8.39
MD,b,1941-1949,75,0.07889,0.07590,0.5,35220,2673,33883,281177,7.98
MD,b,1941-1949,76,0.08493,0.08147,0.5,32546,2652,31221,247294,7.60
MD,b,1941-1949,77,0.09030,0.08640,0.5,29895,2583,28603,216073,7.23
MD,b,1941-1949,78,0.09735,0.09283,0.5,27312,2535,26044,187470,6.86
MD,b,1941-1949,79,0.10549,0.10021,0.5,24776,2483,23535,161425,6.52
MD,b,1941-1949,80,0.11061,0.10481,0.5,22294,2337,21125,137890,6.19
MD,b,1941-1949,81,0.12022,0.11341,0.5,19957,2263,18825,116765,5.85
MD,b,1941-1949,82,0.13067,0.12266,0.5,17694,2170,16609,97940,5.54
MD,b,1941-1949,83,0.14225,0.13281,0.5,15523,2062,14493,81331,5.24
MD,b,1941-1949,84,0.15479,0.14367,0.5,13462,1934,12495,66838,4.97
MD,b,1941-1949,85,0.16441,0.15192,0.5,11528,1751,10652,54343,4.71
MD,b,1941-1949,86,0.17648,0.16217,0.5,9777,1585,8984,43691,4.47
MD,b,1941-1949,87,0.18924,0.17288,0.5,8191,1416,7483,34708,4.24
MD,b,1941-1949,88,0.20269,0.18404,0.5,6775,1247,6152,27224,4.02
MD,b,1941-1949,89,0.21686,0.19564,0.5,5528,1082,4987,21073,3.81
MD,b,1941-1949,90,0.23173,0.20767,0.5,4447,923,3985,16086,3.62
MD,b,1941-1949,91,0.24730,0.22009,0.5,3523,775,3135,12101,3.43
MD,b,1941-1949,92,0.26357,0.23288,0.5,2748,640,2428,8965,3.26
MD,b,1941-1949,93,0.28052,0.24602,0.5,2108,519,1849,6537,3.10
MD,b,1941-1949,94,0.29812,0.25945,0.5,1589,412,1383,4689,2.95
MD,b,1941-1949,95,0.31636,0.27315,0.5,1177,321,1016,3306,2.81
MD,b,1941-1949,96,0.33518,0.28707,0.5,855,246,733,2290,2.68
MD,b,1941-1949,97,0.35455,0.30116,0.5,610,184,518,1557,2.55
MD,b,1941-1949,98,0.37442,0.31537,0.5,426,134,359,1039,2.44
MD,b,1941-1949,99,0.39473,0.32966,0.5,292,96,244,680,2.33
MD,b,1941-1949,100,0.41542,0.34397,0.5,196,67,162,436,2.23
MD,b,1941-1949,101,0.43642,0.35825,0.5,128,46,105,274,2.14
MD,b,1941-1949,102,0.45767,0.37244,0.5,82,31,67,169,2.05
MD,b,1941-1949,103,0.47909,0.38650,0.5,52,20,42,102,1.97
MD,b,1941-1949,104,0.50059,0.40038,0.5,32,13,25,60,1.90
MD,b,1941-1949,105,0.52210,0.41402,0.5,19,8,15,35,1.83
MD,b,1941-1949,106,0.54355,0.42739,0.5,11,5,9,20,1.76
MD,b,1941-1949,107,0.56484,0.44045,0.5,6,3,5,11,1.71
MD,b,1941-1949,108,0.58591,0.45316,0.5,4,2,3,6,1.66
MD,b,1941-1949,109,0.60668,0.46548,0.5,2,1,1,3,1.62
MD,b,1941-1949,110+,0.62709,1.00000,1.59,1,1,2,2,1.59
MD,b,1950-1959,0,0.02837,0.02769,0.13,100000,2769,97583,6817070,68.17
MD,b,1950-1959,1,0.00186,0.00185,0.5,97231,180,97141,6719487,69.11
MD,b,1950-1959,2,0.00119,0.00118,0.5,97051,115,96994,6622346,68.24
MD,b,1950-1959,3,0.00087,0.00087,0.5,96936,84,96894,6525352,67.32
MD,b,1950-1959,4,0.00073,0.00073,0.5,96852,70,96817,6428458,66.37
MD,b,1950-1959,5,0.00064,0.00064,0.5,96782,62,96751,6331641,65.42
MD,b,1950-1959,6,0.00058,0.00058,0.5,96719,56,96691,6234890,64.46
MD,b,1950-1959,7,0.00053,0.00053,0.5,96663,51,96638,6138199,63.50
MD,b,1950-1959,8,0.00047,0.00047,0.5,96612,46,96589,6041562,62.53
MD,b,1950-1959,9,0.00044,0.00044,0.5,96566,43,96545,5944972,61.56
MD,b,1950-1959,10,0.00039,0.00039,0.5,96524,38,96505,5848427,60.59
MD,b,1950-1959,11,0.00040,0.00040,0.5,96486,39,96466,5751923,59.61
MD,b,1950-1959,12,0.00044,0.00044,0.5,96447,42,96426,5655456,58.64
MD,b,1950-1959,13,0.00047,0.00047,0.5,96405,45,96382,5559030,57.66
MD,b,1950-1959,14,0.00056,0.00056,0.5,96360,54,96333,5462648,56.69
MD,b,1950-1959,15,0.00067,0.00067,0.5,96306,65,96274,5366315,55.72
MD,b,1950-1959,16,0.00080,0.00080,0.5,96241,77,96203,5270042,54.76
MD,b,1950-1959,17,0.00093,0.00093,0.5,96164,89,96120,5173839,53.80
MD,b,1950-1959,18,0.00102,0.00102,0.5,96075,98,96026,5077719,52.85
MD,b,1950-1959,19,0.00105,0.00105,0.5,95978,101,95927,4981693,51.90
MD,b,1950-1959,20,0.00113,0.00113,0.5,95877,109,95823,4885766,50.96
MD,b,1950-1959,21,0.00117,0.00117,0.5,95768,112,95712,4789943,50.02
MD,b,1950-1959,22,0.00120,0.00120,0.5,95656,115,95599,4694231,49.07
MD,b,1950-1959,23,0.00123,0.00123,0.5,95541,118,95482,4598632,48.13
MD,b,1950-1959,24,0.00122,0.00122,0.5,95424,116,95365,4503149,47.19
MD,b,1950-1959,25,0.00128,0.00128,0.5,95307,122,95246,4407784,46.25
MD,b,1950-1959,26,0.00130,0.00130,0.5,95186,124,95124,4312538,45.31
MD,b,1950-1959,27,0.00136,0.00136,0.5,95062,129,94997,4217414,44.36
MD,b,1950-1959,28,0.00141,0.00141,0.5,94933,134,94866,4122416,43.42
MD,b,1950-1959,29,0.00148,0.00148,0.5,94799,140,94729,4027550,42.49
MD,b,1950-1959,30,0.00156,0.00156,0.5,94659,148,94585,3932821,41.55
MD,b,1950-1959,31,0.00166,0.00166,0.5,94512,157,94433,3838236,40.61
MD,b,1950-1959,32,0.00181,0.00181,0.5,94354,171,94269,3743803,39.68
MD,b,1950-1959,33,0.00196,0.00196,0.5,94183,185,94091,3649534,38.75
MD,b,1950-1959,34,0.00210,0.00209,0.5,93999,197,93901,3555443,37.82
MD,b,1950-1959,35,0.00229,0.00229,0.5,93802,215,93695,3461542,36.90
MD,b,1950-1959,36,0.00246,0.00245,0.5,93587,230,93472,3367848,35.99
MD,b,1950-1959,37,0.00276,0.00275,0.5,93358,257,93229,3274375,35.07
MD,b,1950-1959,38,0.00300,0.00300,0.5,93101,279,92961,3181146,34.17
MD,b,1950-1959,39,0.00327,0.00326,0.5,92821,303,92670,3088185,33.27
MD,b,1950-1959,40,0.00366,0.00366,0.5,92518,338,92349,2995515,32.38
MD,b,1950-1959,41,0.00391,0.00390,0.5,92180,360,92000,2903166,31.49
MD,b,1950-1959,42,0.00438,0.00437,0.5,91820,401,91620,2811166,30.62
MD,b,1950-1959,43,0.00483,0.00482,0.5,91419,441,91199,2719546,29.75
MD,b,1950-1959,44,0.00531,0.00530,0.5,90979,482,90738,2628347,28.89
MD,b,1950-1959,45,0.00583,0.00582,0.5,90497,526,90233,2537609,28.04
MD,b,1950-1959,46,0.00639,0.00637,0.5,89970,573,89684,2447376,27.20
MD,b,1950-1959,47,0.00703,0.00700,0.5,89397,626,89084,2357692,26.37
MD,b,1950-1959,48,0.00785,0.00782,0.5,88771,694,88424,2268608,25.56
MD,b,1950-1959,49,0.00858,0.00854,0.5,88077,752,87701,2180184,24.75
MD,b,1950-1959,50,0.00923,0.00918,0.5,87325,802,86924,2092483,23.96
MD,b,1950-1959,51,0.01014,0.01009,0.5,86523,873,86086,2005559,23.18
MD,b,1950-1959,52,0.01106,0.01100,0.5,85650,942,85179,1919473,22.41
MD,b,1950-1959,53,0.01213,0.01206,0.5,84708,1021,84198,1834294,21.65
MD,b,1950-1959,54,0.01324,0.01315,0.5,83687,1101,83137,1750096,20.91
MD,b,1950-1959,55,0.01427,0.01417,0.5,82586,1170,82001,1666960,20.18
MD,b,1950-1959,56,0.01557,0.01545,0.5,81416,1258,80787,1584958,19.47
MD,b,1950-1959,57,0.01672,0.01658,0.5,80158,1329,79494,1504171,18.76
MD,b,1950-1959,58,0.01831,0.01814,0.5,78829,1430,78114,1424677,18.07
MD,b,1950-1959,59,0.01968,0.01949,0.5,77399,1508,76645,1346563,17.40
MD,b,1950-1959,60,0.02132,0.02110,0.5,75891,1601,75090,1269918,16.73
MD,b,1950-1959,61,0.02276,0.02251,0.5,74290,1672,73454,1194827,16.08
MD,b,1950-1959,62,0.02478,0.02448,0.5,72618,1777,71729,1121373,15.44
MD,b,1950-1959,63,0.02681,0.02646,0.5,70841,1874,69903,1049644,14.82
MD,b,1950-1959,64,0.02898,0.02857,0.5,68966,1970,67981,979741,14.21
MD,b,1950-1959,65,0.03200,0.03149,0.5,66996,2110,65941,911760,13.61
MD,b,1950-1959,66,0.03417,0.03359,0.5,64886,2180,63796,845819,13.04
MD,b,1950-1959,67,0.03754,0.03685,0.5,62706,2311,61551,782023,12.47
MD,b,1950-1959,68,0.04054,0.03974,0.5,60395,2400,59195,720472,11.93
MD,b,1950-1959,69,0.04330,0.04238,0.5,57995,2458,56766,661277,11.40
MD,b,1950-1959,70,0.04661,0.04555,0.5,55538,2530,54273,604510,10.88
MD,b,1950-1959,71,0.04986,0.04865,0.5,53008,2579,51719,550237,10.38
MD,b,1950-1959,72,0.05388,0.05247,0.5,50429,2646,49106,498519,9.89
MD,b,1950-1959,73,0.05841,0.05675,0.5,47783,2712,46428,449412,9.41
MD,b,1950-1959,74,0.06356,0.06160,0.5,45072,2777,43684,402985,8.94
MD,b,1950-1959,75,0.06921,0.06689,0.5,42295,2829,40881,359301,8.50
MD,b,1950-1959,76,0.07438,0.07171,0.5,39466,2830,38051,318421,8.07
MD,b,1950-1959,77,0.08017,0.07708,0.5,36636,2824,35224,280370,7.65
MD,b,1950-1959,78,0.08817,0.08445,0.5,33812,2855,32384,245146,7.25
MD,b,1950-1959,79,0.09619,0.09178,0.5,30956,2841,29536,212762,6.87
MD,b,1950-1959,80,0.09865,0.09401,0.5,28115,2643,26794,183226,6.52
MD,b,1950-1959,81,0.10669,0.10129,0.5,25472,2580,24182,156432,6.14
MD,b,1950-1959,82,0.11839,0.11177,0.5,22892,2559,21613,132250,5.78
MD,b,1950-1959,83,0.12995,0.12202,0.5,20333,2481,19093,110637,5.44
MD,b,1950-1959,84,0.14040,0.13119,0.5,17852,2342,16681,91545,5.13
MD,b,1950-1959,85,0.15296,0.14210,0.5,15510,2204,14408,74863,4.83
MD,b,1950-1959,86,0.16626,0.15350,0.5,13306,2043,12285,60455,4.54
MD,b,1950-1959,87,0.18049,0.16555,0.5,11264,1865,10331,48170,4.28
MD,b,1950-1959,88,0.19569,0.17825,0.5,9399,1675,8561,37838,4.03
MD,b,1950-1959,89,0.21187,0.19158,0.5,7724,1480,6984,29277,3.79
MD,b,1950-1959,90,0.22905,0.20551,0.5,6244,1283,5602,22293,3.57
MD,b,1950-1959,91,0.24722,0.22002,0.5,4961,1091,4415,16691,3.36
MD,b,1950-1959,92,0.26637,0.23506,0.5,3869,910,3415,12276,3.17
MD,b,1950-1959,93,0.28648,0.25058,0.5,2960,742,2589,8861,2.99
MD,b,1950-1959,94,0.30751,0.26653,0.5,2218,591,1923,6272,2.83
MD,b,1950-1959,95,0.32942,0.28284,0.5,1627,460,1397,4350,2.67
MD,b,1950-1959,96,0.35214,0.29942,0.5,1167,349,992,2953,2.53
MD,b,1950-1959,97,0.37560,0.31621,0.5,817,258,688,1961,2.40
MD,b,1950-1959,98,0.39970,0.33312,0.5,559,186,466,1273,2.28
MD,b,1950-1959,99,0.42433,0.35006,0.5,373,130,307,807,2.16
MD,b,1950-1959,100,0.44940,0.36695,0.5,242,89,198,499,2.06
MD,b,1950-1959,101,0.47476,0.38368,0.5,153,59,124,302,1.97
MD,b,1950-1959,102,0.50030,0.40019,0.5,95,38,76,178,1.88
MD,b,1950-1959,103,0.52587,0.41639,0.5,57,24,45,102,1.80
MD,b,1950-1959,104,0.55135,0.43220,0.5,33,14,26,57,1.73
MD,b,1950-1959,105,0.57660,0.44756,0.5,19,8,15,31,1.66
MD,b,1950-1959,106,0.60148,0.46242,0.5,10,5,8,17,1.60
MD,b,1950-1959,107,0.62589,0.47670,0.5,6,3,4,9,1.55
MD,b,1950-1959,108,0.64970,0.49039,0.5,3,1,2,4,1.50
MD,b,1950-1959,109,0.67281,0.50345,0.5,1,1,1,2,1.46
MD,b,1950-1959,110+,0.69514,1.00000,1.44,1,1,1,1,1.44
MD,b,1960-1969,0,0.02448,0.02396,0.12,100000,2396,97882,6929376,69.29
MD,b,1960-1969,1,0.00144,0.00144,0.5,97604,140,97534,6831493,69.99
MD,b,1960-1969,2,0.00089,0.00089,0.5,97464,87,97420,6733959,69.09
MD,b,1960-1969,3,0.00073,0.00073,0.5,97377,71,97341,6636539,68.15
MD,b,1960-1969,4,0.00064,0.00064,0.5,97306,63,97275,6539197,67.20
MD,b,1960-1969,5,0.00055,0.00055,0.5,97243,53,97217,6441923,66.25
MD,b,1960-1969,6,0.00045,0.00045,0.5,97190,44,97168,6344706,65.28
MD,b,1960-1969,7,0.00045,0.00045,0.5,97146,44,97124,6247538,64.31
MD,b,1960-1969,8,0.00041,0.00041,0.5,97102,39,97082,6150414,63.34
MD,b,1960-1969,9,0.00036,0.00036,0.5,97062,35,97045,6053332,62.37
MD,b,1960-1969,10,0.00035,0.00035,0.5,97028,34,97011,5956287,61.39
MD,b,1960-1969,11,0.00034,0.00034,0.5,96994,33,96977,5859276,60.41
MD,b,1960-1969,12,0.00036,0.00036,0.5,96961,35,96943,5762299,59.43
MD,b,1960-1969,13,0.00044,0.00044,0.5,96925,43,96904,5665356,58.45
MD,b,1960-1969,14,0.00052,0.00052,0.5,96882,50,96857,5568452,57.48
MD,b,1960-1969,15,0.00056,0.00056,0.5,96832,55,96805,5471595,56.51
MD,b,1960-1969,16,0.00071,0.00071,0.5,96778,69,96743,5374790,55.54
MD,b,1960-1969,17,0.00095,0.00095,0.5,96708,92,96663,5278047,54.58
MD,b,1960-1969,18,0.00103,0.00103,0.5,96617,100,96567,5181385,53.63
MD,b,1960-1969,19,0.00114,0.00114,0.5,96517,110,96462,5084818,52.68
MD,b,1960-1969,20,0.00110,0.00110,0.5,96407,106,96354,4988356,51.74
MD,b,1960-1969,21,0.00118,0.00118,0.5,96300,113,96244,4892002,50.80
MD,b,1960-1969,22,0.00120,0.00120,0.5,96187,115,96129,4795759,49.86
MD,b,1960-1969,23,0.00116,0.00116,0.5,96072,111,96016,4699629,48.92
MD,b,1960-1969,24,0.00124,0.00124,0.5,95960,119,95901,4603613,47.97
MD,b,1960-1969,25,0.00122,0.00122,0.5,95841,117,95783,4507712,47.03
MD,b,1960-1969,26,0.00131,0.00131,0.5,95725,125,95662,4411929,46.09
MD,b,1960-1969,27,0.00126,0.00126,0.5,95600,120,95539,4316267,45.15
MD,b,1960-1969,28,0.00143,0.00143,0.5,95479,136,95411,4220728,44.21
MD,b,1960-1969,29,0.00139,0.00139,0.5,95343,133,95276,4125317,43.27
MD,b,1960-1969,30,0.00140,0.00140,0.5,95210,133,95143,4030040,42.33
MD,b,1960-1969,31,0.00155,0.00155,0.5,95077,148,95003,3934897,41.39
MD,b,1960-1969,32,0.00169,0.00169,0.5,94929,161,94849,3839894,40.45
MD,b,1960-1969,33,0.00183,0.00183,0.5,94769,174,94682,3745045,39.52
MD,b,1960-1969,34,0.00192,0.00192,0.5,94595,181,94504,3650363,38.59
MD,b,1960-1969,35,0.00223,0.00223,0.5,94414,211,94308,3555859,37.66
MD,b,1960-1969,36,0.00242,0.00242,0.5,94203,228,94089,3461551,36.75
MD,b,1960-1969,37,0.00245,0.00244,0.5,93975,230,93860,3367461,35.83
MD,b,1960-1969,38,0.00282,0.00282,0.5,93746,264,93614,3273601,34.92
MD,b,1960-1969,39,0.00293,0.00293,0.5,93482,274,93345,3179987,34.02
MD,b,1960-1969,40,0.00340,0.00339,0.5,93208,316,93050,3086642,33.12
MD,b,1960-1969,41,0.00363,0.00363,0.5,92892,337,92724,2993592,32.23
MD,b,1960-1969,42,0.00425,0.00424,0.5,92555,392,92359,2900868,31.34
MD,b,1960-1969,43,0.00439,0.00438,0.5,92163,404,91961,2808509,30.47
MD,b,1960-1969,44,0.00488,0.00487,0.5,91759,447,91536,2716548,29.61
MD,b,1960-1969,45,0.00531,0.00529,0.5,91312,483,91071,2625012,28.75
MD,b,1960-1969,46,0.00565,0.00563,0.5,90829,511,90574,2533942,27.90
MD,b,1960-1969,47,0.00631,0.00629,0.5,90318,568,90034,2443368,27.05
MD,b,1960-1969,48,0.00699,0.00697,0.5,89749,625,89437,2353334,26.22
MD,b,1960-1969,49,0.00758,0.00755,0.5,89124,673,88788,2263898,25.40
MD,b,1960-1969,50,0.00885,0.00881,0.5,88451,779,88061,2175110,24.59
MD,b,1960-1969,51,0.00902,0.00898,0.5,87672,788,87278,2087049,23.81
MD,b,1960-1969,52,0.01066,0.01060,0.5,86884,921,86424,1999771,23.02
MD,b,1960-1969,53,0.01081,0.01075,0.5,85963,924,85501,1913347,22.26
MD,b,1960-1969,54,0.01225,0.01218,0.5,85039,1036,84521,1827846,21.49
MD,b,1960-1969,55,0.01313,0.01304,0.5,84003,1096,83455,1743326,20.75
MD,b,1960-1969,56,0.01447,0.01437,0.5,82907,1191,82312,1659871,20.02
MD,b,1960-1969,57,0.01556,0.01544,0.5,81716,1262,81085,1577559,19.31
MD,b,1960-1969,58,0.01687,0.01673,0.5,80454,1346,79781,1496474,18.60
MD,b,1960-1969,59,0.01873,0.01855,0.5,79108,1468,78374,1416693,17.91
MD,b,1960-1969,60,0.02085,0.02064,0.5,77641,1602,76839,1338318,17.24
MD,b,1960-1969,61,0.02050,0.02029,0.5,76038,1543,75267,1261479,16.59
MD,b,1960-1969,62,0.02398,0.02370,0.5,74495,1765,73613,1186212,15.92
MD,b,1960-1969,63,0.02514,0.02483,0.5,72730,1806,71827,1112599,15.30
MD,b,1960-1969,64,0.02712,0.02676,0.5,70924,1898,69975,1040772,14.67
MD,b,1960-1969,65,0.03155,0.03106,0.5,69026,2144,67954,970797,14.06
MD,b,1960-1969,66,0.03211,0.03160,0.5,66882,2114,65825,902843,13.50
MD,b,1960-1969,67,0.03516,0.03456,0.5,64769,2238,63649,837018,12.92
MD,b,1960-1969,68,0.03703,0.03636,0.5,62530,2273,61394,773368,12.37
MD,b,1960-1969,69,0.03986,0.03908,0.5,60257,2355,59079,711975,11.82
MD,b,1960-1969,70,0.04462,0.04365,0.5,57902,2527,56638,652895,11.28
MD,b,1960-1969,71,0.04577,0.04474,0.5,55375,2478,54136,596257,10.77
MD,b,1960-1969,72,0.05252,0.05117,0.5,52897,2707,51544,542121,10.25
MD,b,1960-1969,73,0.05534,0.05385,0.5,50190,2703,48839,490577,9.77
MD,b,1960-1969,74,0.06062,0.05883,0.5,47487,2794,46091,441739,9.30
MD,b,1960-1969,75,0.06624,0.06412,0.5,44694,2866,43261,395648,8.85
MD,b,1960-1969,76,0.07100,0.06856,0.5,41828,2868,40394,352387,8.42
MD,b,1960-1969,77,0.07327,0.07068,0.5,38960,2754,37583,311993,8.01
MD,b,1960-1969,78,0.08088,0.07773,0.5,36206,2814,34799,274410,7.58
MD,b,1960-1969,79,0.08595,0.08241,0.5,33392,2752,32016,239611,7.18
MD,b,1960-1969,80,0.09587,0.09148,0.5,30640,2803,29238,207595,6.78
MD,b,1960-1969,81,0.09744,0.09291,0.5,27837,2586,26544,178357,6.41
MD,b,1960-1969,82,0.11240,0.10642,0.5,25250,2687,23907,151813,6.01
MD,b,1960-1969,83,0.12273,0.11564,0.5,22563,2609,21259,127906,5.67
MD,b,1960-1969,84,0.13436,0.12590,0.5,19954,2512,18698,106648,5.34
MD,b,1960-1969,85,0.14633,0.13635,0.5,17442,2378,16253,87950,5.04
MD,b,1960-1969,86,0.15720,0.14575,0.5,15064,2195,13966,71697,4.76
MD,b,1960-1969,87,0.17038,0.15700,0.5,12868,2020,11858,57731,4.49
MD,b,1960-1969,88,0.18445,0.16888,0.5,10848,1832,9932,45873,4.23
MD,b,1960-1969,89,0.19945,0.18136,0.5,9016,1635,8198,35941,3.99
MD,b,1960-1969,90,0.21538,0.19444,0.5,7381,1435,6663,27743,3.76
MD,b,1960-1969,91,0.23227,0.20810,0.5,5946,1237,5327,21080,3.55
MD,b,1960-1969,92,0.25010,0.22230,0.5,4708,1047,4185,15753,3.35
MD,b,1960-1969,93,0.26887,0.23700,0.5,3662,868,3228,11568,3.16
MD,b,1960-1969,94,0.28855,0.25217,0.5,2794,705,2442,8340,2.99
MD,b,1960-1969,95,0.30911,0.26773,0.5,2089,559,1810,5899,2.82
MD,b,1960-1969,96,0.33052,0.28364,0.5,1530,434,1313,4089,2.67
MD,b,1960-1969,97,0.35269,0.29982,0.5,1096,329,932,2776,2.53
MD,b,1960-1969,98,0.37558,0.31620,0.5,767,243,646,1845,2.40
MD,b,1960-1969,99,0.39908,0.33270,0.5,525,175,437,1199,2.28
MD,b,1960-1969,100,0.42311,0.34923,0.5,350,122,289,761,2.17
MD,b,1960-1969,101,0.44756,0.36572,0.5,228,83,186,472,2.07
MD,b,1960-1969,102,0.47231,0.38208,0.5,145,55,117,286,1.98
MD,b,1960-1969,103,0.49724,0.39823,0.5,89,36,72,169,1.89
